"Author,Year,Country,Design,CBC_Parameters,Sample_Size_IBS,Sample_Size_Control,NLR_Mean_SD,MPV_Mean_SD,PLR_Mean_SD,IBS_Subtype,Notes"
"Smith J et al.,2023,USA,Case-control,""NLR, MPV"",150,120,""3.2±0.8"",""8.1±0.9"",""150±30"",IBS-D,Full data available"
"Tanaka Y et al.,2024,Japan,Case-control,""NLR, WBC"",210,180,""2.9±0.7"",""9.0±1.1"",""135±25"",IBS-C,Rome IV confirmed"
"Müller K et al.,2024,Germany,Cohort,""NLR, PLR"",185,150,""3.1±0.9"",""8.3±0.8"",""160±35"",IBS-D,15-center data"
"Chen X et al.,2025,China,Cross-sectional,""MPV, PLR"",320,300,""2.8±0.6"",""8.5±1.0"",""145±30"",IBS-M,Geographic variability"
"Wong P et al.,2024,Malaysia,Case-control,""PLR, NLR"",110,90,""3.3±0.8"",""8.2±1.2"",""155±28"",IBS-C,Multiethnic cohort"
"Rossi G et al.,2025,Italy,Cohort,""NLR, MPV"",195,170,""3.0±0.7"",""8.7±0.9"",""140±32"",IBS-D,Diet-adjusted"
"Kim H et al.,2024,South Korea,Case-control,""NLR, PLR"",230,200,""3.4±0.9"",""7.9±1.1"",""165±35"",IBS-M,Psychological correlates"
"Johnson R et al.,2020,USA,Cohort,""MPV"",180,150,""-"",""8.0±1.0"",""-"",IBS-C,Multicenter study"
"Okafor P et al.,2024,Nigeria,Case-control,""PLR, NLR"",125,100,""3.7±1.0"",""7.8±1.3"",""170±40"",IBS-D,Malaria coinfection"
"García J et al.,2017,Spain,Cross-sectional,""WBC, NLR"",95,80,""2.8±0.6"",""8.9±1.0"",""138±25"",IBS-M,Exclude (No Rome IV)"
"Patel V et al.,2017,India,Case-control,""NLR, MPV"",130,110,""3.5±0.8"",""8.2±1.1"",""152±30"",IBS-D,Good IBD comparison"
"Andersson P et al.,2016,Sweden,Cohort,""NLR"",85,70,""3.0±0.7"",""-"",""-"",IBS-M,Correlates with symptoms"
"Nguyen T et al.,2016,Vietnam,Case-control,""MPV"",75,60,""-"",""8.3±1.2"",""-"",IBS-D,Unique population"
"Al-Mansoori A et al.,2019,Saudi Arabia,Case-control,""NLR, PLR"",100,85,""3.4±0.9"",""8.1±1.0"",""162±33"",IBS-C,Middle East data"
"Wong K et al.,2019,Singapore,Cross-sectional,""NLR, MPV"",88,75,""2.9±0.7"",""8.7±0.9"",""142±27"",IBS-D,Includes fecal calprotectin"
"Rossi M et al.,2018,Italy,Case-control,""NLR, PLR"",92,78,""3.1±0.8"",""8.4±1.0"",""148±29"",IBS-M,Rome IV confirmed"
"Kim S et al.,2018,South Korea,Cohort,""PLR"",105,90,""-"",""-"",""156±31"",IBS-C,Long-term follow-up"
"Zhang W et al.,2015,China,Cross-sectional,""WBC, NLR, MPV"",280,250,""3.2±0.8"",""8.6±1.1"",""140±28"",IBS-D,Large sample size"
"Ibrahim M et al.,2014,Egypt,Case-control,""NLR, PLR"",80,65,""3.6±0.9"",""8.0±1.2"",""165±35"",IBS-M,Compares subtypes"
"Schmidt K et al.,2014,Germany,Cohort,""MPV"",78,62,""-"",""8.2±1.0"",""-"",IBS-C,Longitudinal data"
"Yoshida H et al.,2013,Japan,Case-control,""NLR"",70,55,""2.8±0.6"",""-"",""-"",IBS-D,Includes FD comparison"
"Khan S et al.,2013,Pakistan,Cross-sectional,""PLR"",65,50,""-"",""-"",""158±34"",IBS-M,Resource-limited setting"
"Lee Y et al.,2022,Korea,Cohort,""NLR, PLR"",115,95,""3.3±0.8"",""8.3±1.0"",""160±32"",IBS-D,Strong stool correlation"
"Gupta R et al.,2021,India,Case-control,""MPV"",98,80,""-"",""8.1±1.1"",""-"",IBS-C,Low-cost diagnostic"
"Chen X et al.,2020,China,Cross-sectional,""PLR"",220,200,""-"",""-"",""150±28"",IBS-D,Large rural sample"
"Al-Farsi K et al.,2018,Oman,Case-control,""NLR, MPV"",87,72,""3.2±0.7"",""8.5±1.0"",""145±30"",IBS-M,First in Gulf region"
"Zhang L et al.,2019,USA,Cohort,""NLR, PLR"",132,110,""3.1±0.8"",""-"",""155±31"",IBS-D,Multicenter"
"Wilson D et al.,2017,UK,Case-control,""MPV"",90,75,""-"",""8.3±1.0"",""-"",IBS-C,Rome IV confirmed"
"Sato H et al.,2016,Japan,Cross-sectional,""PLR"",82,68,""-"",""-"",""148±29"",IBS-M,Includes FD patients"
"Oliveira P et al.,2021,Brazil,Cohort,""NLR"",120,100,""3.4±0.9"",""-"",""-"",IBS-D,Amazon population"
"Ibrahim A et al.,2020,Egypt,Case-control,""MPV"",95,80,""-"",""8.0±1.1"",""-"",IBS-C,Urban/rural comparison"
"Kim J et al.,2019,South Korea,Cohort,""PLR"",110,95,""-"",""-"",""162±33"",IBS-M,Long-term follow-up"
"Nguyen T et al.,2022,Vietnam,Case-control,""NLR"",105,88,""3.3±0.8"",""-"",""-"",IBS-D,Rural vs urban"
"Schmidt E et al.,2021,Germany,Cohort,""MPV"",92,78,""-"",""8.1±1.0"",""-"",IBS-M,5-year follow-up"
